Region;Population;
Dar es Salaam; 5.401.800 ;0,093719909
Mwanza; 3.826.600 ;0,066390574
Kagera; 3.238.300 ;0,056183713
Tabora; 3.081.300 ;0,053459801
Kigoma; 2.800.900 ;0,04859493
Morogoro; 2.730.100 ;0,047366567
Dodoma; 2.647.400 ;0,045931743
Tanga; 2.449.200 ;0,042493021
Geita; 2.434.800 ;0,042243185
Mara; 2.391.800 ;0,041497145
Simiyu; 2.304.200 ;0,039977307
Mbeya; 2.204.500 ;0,038247536
Arusha; 2.104.100 ;0,03650562
Shinyanga; 1.993.600 ;0,034588472
Kilimanjaro; 1.951.300 ;0,033854578
Manyara; 1.873.100 ;0,032497827
Singida; 1.705.200 ;0,029584803
Zanzibar; 1.671.600 ;0,029001851
Ruvuma; 1.655.400 ;0,028720785
Mtwara; 1.478.900 ;0,025658553
Pwani; 1.325.900 ;0,023004041
Songwe; 1.278.900 ;0,022188602
Rukwa; 1.270.000 ;0,022034189
Iringa; 1.149.500 ;0,019943544
Lindi; 1.025.800 ;0,017797379
Njombe; 837.600 ;0,014532155
Katavi; 805.900 ;0,013982168
;;
